"","senator_name","year_in_office","Total_Transaction","yearly_weighted_return","weighted_average_returns","SP_500_return","abnormal_return_size","abnormal_return_numeric"
"1","Cornyn, John","2015",32500.5,12781074.263605,393.257773375949,-0.73,"53970.93 % higher",53970.927859719
"2","Jr, Robert P Corker","2015",7500002.5,2029816178.72901,270.642066949846,-0.73,"37174.26 % higher",37174.2557465542
"3","Suzan K. Delbene","2015",749516.5,182152056.734759,243.026079792452,-0.73,"33391.24 % higher",33391.2438071852
"4","Marc A. Veasey","2015",8000.5,1082050.9281338,135.247913022161,-0.73,"18627.11 % higher",18627.1113728988
"5","Barbara J. Comstock","2015",16001,2111829.08403328,131.981068935272,-0.73,"18179.60 % higher",18179.5984842838
"6","Jim Cooper","2015",32500.5,4153294.6436639,127.791715317115,-0.73,"17605.71 % higher",17605.7144270021
"7","Steve Cohen","2015",131502.5,15205284.0318808,115.627338125745,-0.73,"15939.36 % higher",15939.3613870884
"8","Reed, John F.","2015",104006.5,10298807.1142442,99.0208026829496,-0.73,"13664.49 % higher",13664.4935182123
"9","Zoe Lofgren","2015",48501.5,4779748.17121956,98.5484607943994,-0.73,"13599.79 % higher",13599.7891499177
"10","Cheri Bustos","2015",65001,5954575.69999887,91.6074475777121,-0.73,"12648.97 % higher",12648.9654216044
"11","Luis V. Gutierrez","2015",485005.5,34156883.7038693,70.425765695171,-0.73,"9747.37 % higher",9747.36516372206
"12","Brenda Lulenar Lawrence","2017",16001,27799814.4777965,1737.37981862362,19.42,"8846.34 % higher",8846.34304131626
"13","Bob Gibbs","2015",104006.5,6427382.35485638,61.7978910438903,-0.73,"8565.46 % higher",8565.46452656032
"14","Roberts, Pat","2015",405015,22412347.4691129,55.3370800318825,-0.73,"7680.42 % higher",7680.42192217568
"15","Inhofe, James M.","2015",716008.5,38813466.6629758,54.2081087905742,-0.73,"7525.77 % higher",7525.76832747591
"16","Mo Brooks","2015",24001.5,1139279.04902133,47.466993688783,-0.73,"6602.33 % higher",6602.32790257301
"17","Richard L. Hanna","2015",8873055,401704393.293354,45.2723885170726,-0.73,"6301.70 % higher",6301.69705713323
"18","Katherine M. Clark","2015",1015521,37482344.5309675,36.9094726066398,-0.73,"5156.09 % higher",5156.09213789586
"19","Roger Williams","2015",32002,1111354.45394419,34.7276562072429,-0.73,"4857.21 % higher",4857.21317907436
"20","Kathy Castor","2015",16001,542434.666523786,33.9000479047426,-0.73,"4743.84 % higher",4743.84217873186
"21","Brad Ashford","2015",37905509,1284476863.51938,33.8862845376746,-0.73,"4741.96 % higher",4741.95678598282
"22","Zoe Lofgren","2016",24001.5,10966745.9528604,456.919190586436,9.54,"4689.51 % higher",4689.50933528759
"23","Steve Chabot","2015",144507.5,4797973.83262211,33.2022478599526,-0.73,"4648.25 % higher",4648.25313150036
"24","Kyl, Jon","2018",64004,18009450.3650025,281.380075698433,-6.24,"4609.30 % higher",4609.29608491078
"25","Bill Flores","2015",1514042,48235208.5292674,31.8585670207745,-0.73,"4464.19 % higher",4464.18726311979
"26","Flake, Jeffry","2016",65001,28235085.0674567,434.379241357159,9.54,"4453.24 % higher",4453.24152365995
"27","Whitehouse, Sheldon","2016",962552.5,364661596.173117,378.848526364138,9.54,"3871.16 % higher",3871.15855727608
"28","John A. Boehner","2015",186504,5113217.0886809,27.4161255988123,-0.73,"3855.63 % higher",3855.63364367292
"29","Alan S. Lowenthal","2015",1726539,45436955.4472924,26.3167848784721,-0.73,"3705.04 % higher",3705.03902444823
"30","Flake, Jeffry","2014",32002,13470857.9140196,420.938001188037,11.39,"3595.68 % higher",3595.68043185283
"31","Justin Amash","2015",8000.5,201050.386422951,25.1297276948879,-0.73,"3542.43 % higher",3542.42845135451
"32","Raúl M. Grijalva","2015",456028.5,11118028.5553215,24.3801178113243,-0.73,"3439.74 % higher",3439.74216593484
"33","King, Angus","2014",8000.5,2988525.10840152,373.54229215693,11.39,"3179.56 % higher",3179.56358346734
"34","Roberts, Pat","2014",506011,169280810.893254,334.539784497282,11.39,"2837.14 % higher",2837.13594817631
"35","Mr. Austin Scott","2013",73001.5,62514065.0965317,856.33946010057,29.6,"2793.04 % higher",2793.03871655598
"36","Rubén Hinojosa","2015",705539.5,13458554.2150463,19.0755502917219,-0.73,"2713.09 % higher",2713.0890810578
"37","Virginia Foxx","2015",1899530,34878495.5963641,18.3616450365954,-0.73,"2615.29 % higher",2615.29384062951
"38","Lamar Smith","2015",960060,13929133.1095431,14.5086068678448,-0.73,"2087.48 % higher",2087.48039285545
"39","Whitehouse, Sheldon","2018",401022,48459277.7278345,120.839449526047,-6.24,"2036.53 % higher",2036.5296398405
"40","Scott H. Peters","2018",196503.5,22852288.0863092,116.294560078112,-6.24,"1963.69 % higher",1963.69487304666
"41","Debbie Wasserman Schultz","2014",48003,11199110.8255152,233.300227600674,11.39,"1948.29 % higher",1948.28997015517
"42","Michael K. Simpson","2014",8000.5,1598762.06396303,199.832768447351,11.39,"1654.46 % higher",1654.45801973091
"43","Robert J. Wittman","2018",72503,7025630.76360486,96.9012422052171,-6.24,"1652.90 % higher",1652.9045225195
"44","John A. Yarmuth","2015",671519.5,7480473.92796626,11.1396227927354,-0.73,"1625.98 % higher",1625.97572503224
"45","Sam Farr","2016",8000.5,1295870.80993241,161.973727883559,9.54,"1597.84 % higher",1597.83781848594
"46","Brian Babin","2016",24001.5,3287250.87255206,136.96022634219,9.54,"1335.64 % higher",1335.64178555754
"47","Bill Johnson","2016",32500.5,4433695.7036919,136.419307508866,9.54,"1329.97 % higher",1329.9717768225
"48","Roberts, Pat","2018",1118022.5,84724638.6367687,75.7807992565165,-6.24,"1314.44 % higher",1314.4358855211
"49","Garret Graves","2022",8000.5,1861279.64133852,232.645414828888,-19.44,"1296.74 % higher",1296.73567298811
"50","Stephanie Murphy","2018",32002,2337780.81578028,73.0510848003336,-6.24,"1270.69 % higher",1270.69046154381
"51","Carlos Curbelo","2015",264016.5,2228096.2157972,8.4392309412374,-0.73,"1256.06 % higher",1256.05903304622
"52","Brian Higgins","2020",97501.5,20687041.7157556,212.171522650991,16.26,"1204.87 % higher",1204.86791298272
"53","Peter Welch","2018",380016.5,25385949.175045,66.8022287849211,-6.24,"1170.55 % higher",1170.54853821989
"54","E. Scott Rigell","2015",170004.5,1327497.41993426,7.8086016542754,-0.73,"1169.67 % higher",1169.67145948978
"55","Coons, Chris","2018",16001,1022759.71371721,63.9184872018758,-6.24,"1124.33 % higher",1124.33473079929
"56","Bob Gibbs","2018",396375,24571326.064562,61.9901004467031,-6.24,"1093.43 % higher",1093.43109690229
"57","Brenda Lulenar Lawrence","2019",40002.5,13739485.9012604,343.465680926453,28.88,"1089.29 % higher",1089.28559877581
"58","Mark R Meadows","2016",16001,1801043.36953979,112.558175710255,9.54,"1079.86 % higher",1079.85509130246
"59","Bob Gibbs","2014",24001.5,3075799.27376581,128.15029368022,11.39,"1025.11 % higher",1025.11232379474
"60","Brad Ashford","2016",194006,20668366.3677713,106.534676081004,9.54,"1016.72 % higher",1016.71568219082
"61","Kathy Castor","2016",219508,23366514.6770933,106.449490119236,9.54,"1015.82 % higher",1015.82274758109
"62","Kathy Castor","2014",8000.5,988335.705853835,123.534242341583,11.39,"984.59 % higher",984.585095185101
"63","Jackie Speier","2017",16001,3349135.89676506,209.307911803328,19.42,"977.80 % higher",977.795632354935
